file,label
../Datasets/normalized_landmarks\Front\W258\W258S13F_06.npy,W258
../Datasets/normalized_landmarks\Front\W306\W306S17F_02.npy,W306
../Datasets/normalized_landmarks\Front\W274\W274S13F_08.npy,W274
../Datasets/normalized_landmarks\Front\W046\W046S15F_06.npy,W046
../Datasets/normalized_landmarks\Front\W253\W253S09F_03.npy,W253
../Datasets/normalized_landmarks\Front\W350\W350S13F_03.npy,W350
../Datasets/normalized_landmarks\Front\W223\W223S01F_03.npy,W223
../Datasets/normalized_landmarks\Front\W284\W284S07F_11.npy,W284
../Datasets/normalized_landmarks\Front\W021\W021S08F_04.npy,W021
../Datasets/normalized_landmarks\Front\W080\W080S09F_10.npy,W080
../Datasets/normalized_landmarks\Front\W012\W012S15F_10.npy,W012
../Datasets/normalized_landmarks\Front\W043\W043S01F_01.npy,W043
../Datasets/normalized_landmarks\Front\W320\W320S15F_02.npy,W320
../Datasets/normalized_landmarks\Front\W259\W259S01F_05.npy,W259
../Datasets/normalized_landmarks\Front\W167\W167S15F_01.npy,W167
../Datasets/normalized_landmarks\Front\W297\W297S05F_07.npy,W297
../Datasets/normalized_landmarks\Front\W330\W330S15F_02.npy,W330
../Datasets/normalized_landmarks\Front\W039\W039S09F_04.npy,W039
../Datasets/normalized_landmarks\Front\W212\W212S02F_02.npy,W212
../Datasets/normalized_landmarks\Front\W028\W028S08F_12.npy,W028
../Datasets/normalized_landmarks\Front\W289\W289S02F_05.npy,W289
../Datasets/normalized_landmarks\Front\W237\W237S08F_01.npy,W237
../Datasets/normalized_landmarks\Front\W298\W298S12F_01.npy,W298
../Datasets/normalized_landmarks\Front\W202\W202S05F_08.npy,W202
../Datasets/normalized_landmarks\Front\W098\W098S13F_05.npy,W098
../Datasets/normalized_landmarks\Front\W282\W282S06F_11.npy,W282
../Datasets/normalized_landmarks\Front\W333\W333S12F_04.npy,W333
../Datasets/normalized_landmarks\Front\W155\W155S05F_04.npy,W155
../Datasets/normalized_landmarks\Front\W014\W014S13F_07.npy,W014
../Datasets/normalized_landmarks\Front\W015\W015S03F_08.npy,W015
../Datasets/normalized_landmarks\Front\W385\W385S04F_11.npy,W385
../Datasets/normalized_landmarks\Front\W313\W313S14F_01.npy,W313
../Datasets/normalized_landmarks\Front\W100\W100S02F_07.npy,W100
../Datasets/normalized_landmarks\Front\W129\W129S08F_01.npy,W129
../Datasets/normalized_landmarks\Front\W368\W368S14F_04.npy,W368
../Datasets/normalized_landmarks\Front\W081\W081S04F_04.npy,W081
../Datasets/normalized_landmarks\Front\W153\W153S13F_09.npy,W153
../Datasets/normalized_landmarks\Front\W123\W123S05F_02.npy,W123
../Datasets/normalized_landmarks\Front\W008\W008S01F_17.npy,W008
../Datasets/normalized_landmarks\Front\W039\W039S10F_12.npy,W039
../Datasets/normalized_landmarks\Front\W012\W012S02F_05.npy,W012
../Datasets/normalized_landmarks\Front\W169\W169S11F_09.npy,W169
../Datasets/normalized_landmarks\Front\W075\W075S13F_06.npy,W075
../Datasets/normalized_landmarks\Front\W315\W315S03F_03.npy,W315
../Datasets/normalized_landmarks\Front\W129\W129S01F_09.npy,W129
../Datasets/normalized_landmarks\Front\W113\W113S01F_10.npy,W113
../Datasets/normalized_landmarks\Front\W176\W176S04F_03.npy,W176
../Datasets/normalized_landmarks\Front\W324\W324S14F_02.npy,W324
../Datasets/normalized_landmarks\Front\W099\W099S08F_05.npy,W099
../Datasets/normalized_landmarks\Front\W137\W137S06F_08.npy,W137
../Datasets/normalized_landmarks\Front\W067\W067S10F_09.npy,W067
../Datasets/normalized_landmarks\Front\W078\W078S05F_10.npy,W078
../Datasets/normalized_landmarks\Front\W242\W242S13F_10.npy,W242
../Datasets/normalized_landmarks\Front\W070\W070S12F_07.npy,W070
../Datasets/normalized_landmarks\Front\W096\W096S01F_03.npy,W096
../Datasets/normalized_landmarks\Front\W334\W334S11F_11.npy,W334
../Datasets/normalized_landmarks\Front\W396\W396S04F_05.npy,W396
../Datasets/normalized_landmarks\Front\W073\W073S11F_14.npy,W073
../Datasets/normalized_landmarks\Front\W248\W248S09F_01.npy,W248
../Datasets/normalized_landmarks\Front\W251\W251S15F_08.npy,W251
../Datasets/normalized_landmarks\Front\W332\W332S14F_13.npy,W332
../Datasets/normalized_landmarks\Front\W346\W346S17F_05.npy,W346
../Datasets/normalized_landmarks\Front\W323\W323S08F_11.npy,W323
../Datasets/normalized_landmarks\Front\W139\W139S02F_04.npy,W139
../Datasets/normalized_landmarks\Front\W105\W105S02F_05.npy,W105
../Datasets/normalized_landmarks\Front\W103\W103S06F_08.npy,W103
../Datasets/normalized_landmarks\Front\W334\W334S05F_10.npy,W334
../Datasets/normalized_landmarks\Front\W214\W214S05F_03.npy,W214
../Datasets/normalized_landmarks\Front\W011\W011S11F_13.npy,W011
../Datasets/normalized_landmarks\Front\W198\W198S02F_09.npy,W198
../Datasets/normalized_landmarks\Front\W251\W251S01F_09.npy,W251
../Datasets/normalized_landmarks\Front\W329\W329S16F_04.npy,W329
../Datasets/normalized_landmarks\Front\W293\W293S17F_09.npy,W293
../Datasets/normalized_landmarks\Front\W316\W316S17F_07.npy,W316
../Datasets/normalized_landmarks\Front\W010\W010S01F_15.npy,W010
../Datasets/normalized_landmarks\Front\W344\W344S07F_06.npy,W344
../Datasets/normalized_landmarks\Front\W259\W259S09F_08.npy,W259
../Datasets/normalized_landmarks\Front\W395\W395S06F_07.npy,W395
../Datasets/normalized_landmarks\Front\W287\W287S14F_04.npy,W287
../Datasets/normalized_landmarks\Front\W274\W274S08F_09.npy,W274
../Datasets/normalized_landmarks\Front\W087\W087S02F_05.npy,W087
../Datasets/normalized_landmarks\Front\W235\W235S01F_12.npy,W235
../Datasets/normalized_landmarks\Front\W198\W198S01F_01.npy,W198
../Datasets/normalized_landmarks\Front\W366\W366S16F_09.npy,W366
../Datasets/normalized_landmarks\Front\W397\W397S14F_01.npy,W397
../Datasets/normalized_landmarks\Front\W289\W289S01F_02.npy,W289
